Mesh ID,Cross-section type,Pressure (MPa),Aspect Ratio,Pore Area (um^2)
1_8,circular,0.1,[np.float64(1.8585964987463333)],4324.428956902257
1_8,circular,0.0,[np.float64(1.8281180794792795)],4295.701170354484
1_8,circular,0.4,[np.float64(1.933950841643588)],4411.800639982147
1_8,circular,0.5,[np.float64(1.935780377584344)],4441.342785391944
1_8,circular,0.7,[np.float64(1.9365387915425873)],4501.0766127066745
1_8,circular,0.6,[np.float64(1.9365252597274147)],4471.101118895661
1_8,circular,0.8,[np.float64(1.9950120696557554)],4531.274187950957
1_8,circular,0.9,[np.float64(1.9939037964510578)],4561.697184141404
1_8,circular,1.8,[np.float64(1.722858273066109)],4846.038766992826
1_8,circular,1.9,[np.float64(2.100506339283598)],4878.842732717654
1_8,oval,1.9,[np.float64(1.97120652313647)],4441.347538346592
1_8,oval,1.8,[np.float64(1.9706156759135025)],4413.243832977181
1_8,oval,0.9,[np.float64(1.8850832870407943)],4169.303988622009
1_8,oval,0.8,[np.float64(1.8209780306853036)],4143.180446922822
1_8,oval,0.0,[np.float64(1.5640082563897832)],3941.1709230371275
1_8,oval,0.1,[np.float64(1.6438571846894514)],3965.7555614793137
1_8,oval,0.3,[np.float64(1.7578262940031997)],4015.496082165241
1_8,oval,2.0,[np.float64(1.9715740465365494)],4469.657975757978
1_8,oval,0.2,[np.float64(1.7317036629864502)],3990.5246067378534
1_8,oval,0.6,[np.float64(1.804171076744859)],4091.520206739658
1_8,oval,0.7,[np.float64(1.8135085624480087)],4117.250787546622
1_8,oval,0.5,[np.float64(1.7926299505458148)],4065.9782784732083
1_8,oval,0.4,[np.float64(1.7779246769037864)],4040.6282706252846
1_8,oval,1.3,[np.float64(3.008304064120517)],4275.74917681996
1_8,oval,1.2,[np.float64(1.8978011214728525)],4248.843579142531
1_8,oval,1.0,[np.float64(1.8901961352492571)],4195.622573910669
1_8,oval,1.1,[np.float64(1.8943656075832624)],4222.136406362992
1_8,oval,1.5,[np.float64(1.9671518930491594)],4330.15461355645
1_8,oval,1.4,[np.float64(1.9028217004634533)],4302.850731939962
1_8,oval,1.6,[np.float64(1.9686694006039733)],4357.64438262808
1_8,oval,1.7,[np.float64(1.9697374505046645)],4385.3507663070595
2_1,circular,0.8,[np.float64(0.9645924726637091)],3845.5063078430812
2_1,circular,0.9,[np.float64(0.9633989774197197)],3869.0135606395193
2_1,circular,1.8,[np.float64(0.9590967127424793)],4087.953175764503
2_1,circular,1.9,[np.float64(0.9590487556096655)],4113.129163350307
2_1,circular,1.4,[np.float64(0.9600414250452993)],3988.976274094617
2_1,circular,1.5,[np.float64(0.9597114144954075)],4013.4661253354834
2_1,circular,1.7,[np.float64(0.9592319453793685)],4062.951542966067
2_1,circular,1.6,[np.float64(0.9594151953994349)],4038.1217577604302
2_1,circular,1.2,[np.float64(0.9609752403441673)],3940.4983012702914
2_1,circular,1.3,[np.float64(0.9603976918687663)],3964.6499286739636
2_1,circular,1.1,[np.float64(0.9616240715635526)],3916.507834638195
2_1,circular,1.0,[np.float64(0.9624192041356516)],3892.680506882261
2_1,circular,0.7,[np.float64(0.9660652982094572)],3822.1572151372393
2_1,circular,0.6,[np.float64(0.9678788692470969)],3798.9625729575555
2_1,circular,0.4,[np.float64(0.9729234631514168)],3753.031877164939
2_1,circular,0.5,[np.float64(0.9701241355014439)],3775.9220339467115
2_1,circular,0.1,[np.float64(0.987538699338217)],3685.2387205931277
2_1,circular,0.0,[np.float64(1.0001834948577406)],3662.9179372088097
2_1,circular,2.0,[np.float64(0.9589687706882437)],4138.476049141555
2_1,circular,0.2,[np.float64(0.9812462311645815)],3707.697734564762
2_1,circular,0.3,[np.float64(0.9764915304044093)],3730.289224388836
2_1,oval,1.7,[np.float64(1.0393498314147829)],3380.805164205197
2_1,oval,1.6,[np.float64(1.04282514349295)],3362.568135458757
2_1,oval,1.4,[np.float64(1.0509764445016843)],3326.4591324860003
2_1,oval,1.5,[np.float64(1.0466930355254247)],3344.4538492278593
2_1,oval,1.1,[np.float64(1.0670732698034051)],3273.203543686641
2_1,oval,1.0,[np.float64(1.0739478510043183)],3255.7030218348777
2_1,oval,1.2,[np.float64(1.061088305762759)],3290.8384527217954
2_1,oval,1.3,[np.float64(1.0557613083208224)],3308.586389137629
2_1,oval,0.4,[np.float64(1.1408788715382898)],3153.468658996584
2_1,oval,0.5,[np.float64(1.127230789767663)],3170.155860066772
2_1,oval,0.7,[np.float64(1.1018529198768565)],3203.9486585763116
2_1,oval,0.6,[np.float64(1.1144469870317877)],3186.9804226979227
2_1,oval,0.2,[np.float64(1.1824825664203575)],3120.537182769144
2_1,oval,2.0,[np.float64(1.0306234285105715)],3436.219270552722
2_1,oval,0.3,[np.float64(1.157885540971111)],3136.9382010271597
2_1,oval,0.1,[np.float64(1.2174811036976505)],3104.2754908403745
2_1,oval,0.0,[np.float64(1.3908507272263337)],3088.1553497824784
2_1,oval,0.8,[np.float64(1.0910129237723882)],3221.0686831542903
2_1,oval,0.9,[np.float64(1.0818293535380412)],3238.3173774030574
2_1,oval,1.8,[np.float64(1.0361777333259037)],3399.1586979221224
2_1,oval,1.9,[np.float64(1.0332704224674931)],3417.6277233168853
2_3,circular,1.6,[np.float64(2.044410915050176)],4520.661642967005
2_3,circular,1.7,[np.float64(2.042291335964694)],4550.1617815745485
2_3,circular,1.5,[np.float64(2.0467388659318355)],4491.372132139479
2_3,circular,1.4,[np.float64(2.048864925947779)],4462.29703574322
2_3,circular,1.0,[np.float64(1.9931578408671091)],4348.096924021506
2_3,circular,1.1,[np.float64(1.991828400223527)],4376.337904416478
2_3,circular,1.3,[np.float64(2.050900539824165)],4433.433659115574
2_3,circular,1.2,[np.float64(1.9902658367635677)],4404.783826027813
2_3,circular,0.5,[np.float64(1.933945864400999)],4209.891434249083
2_3,circular,0.4,[np.float64(1.9314216239893265)],4182.831865224138
2_3,circular,0.6,[np.float64(1.9353265676878753)],4237.1411169109015
2_3,circular,0.7,[np.float64(1.994978002226095)],4264.583407021128
2_3,circular,0.3,[np.float64(1.9273247469613553)],4155.958490709255
2_3,circular,2.0,[np.float64(2.100475962730959)],4639.977307972711
2_3,circular,0.2,[np.float64(1.9204486460379815)],4129.273089695685
2_3,circular,0.0,[np.float64(1.8281323739845197)],4076.411461189366
2_3,circular,0.1,[np.float64(1.9100685954294652)],4102.75455530296
2_3,circular,0.9,[np.float64(1.9941750697859142)],4320.058731746836
2_3,circular,0.8,[np.float64(1.994832528385891)],4292.222823494211
2_3,circular,1.9,[np.float64(2.1030166834275503)],4609.819621102903
2_3,circular,1.8,[np.float64(2.040025016753054)],4579.88153870357
2_3,oval,1.8,[np.float64(1.895708128837059)],3803.132052626072
2_3,oval,1.9,[np.float64(1.8990731938456298)],3825.0800541317094
2_3,oval,0.8,[np.float64(1.6909393441743217)],3591.9089137173396
2_3,oval,0.9,[np.float64(1.7740234862860542)],3612.3396601451336
2_3,oval,2.0,[np.float64(1.9020407712464946)],3847.176445838457
2_3,oval,0.2,[np.float64(1.534156365485443)],3472.9831484487063
2_3,oval,0.3,[np.float64(1.6148529630380044)],3492.3617607122405
2_3,oval,0.1,[np.float64(1.435275168589262)],3453.7809613280315
2_3,oval,0.0,[np.float64(1.3141901014786457)],3434.751090956184
2_3,oval,0.4,[np.float64(1.6384207891081648)],3511.912767883073
2_3,oval,0.5,[np.float64(1.6584168494341096)],3531.645010137477
2_3,oval,0.7,[np.float64(1.6912187892976343)],3571.6373323004386
2_3,oval,0.6,[np.float64(1.6754328103481708)],3551.5707363544134
2_3,oval,1.1,[np.float64(1.7938085316491361)],3653.6770917471754
2_3,oval,1.0,[np.float64(1.784677160901147)],3632.930234140715
2_3,oval,1.2,[np.float64(1.8017118196572517)],3674.5769692961894
2_3,oval,1.3,[np.float64(1.808551741928786)],3695.633683077733
2_3,oval,1.7,[np.float64(1.8919110638468222)],3781.333095146041
2_3,oval,1.6,[np.float64(1.8875820409175303)],3759.680949381528
2_3,oval,1.4,[np.float64(1.8146773832833412)],3716.830424297973
2_3,oval,1.5,[np.float64(1.8200183813072515)],3738.1818053985558
2_6a,circular,0.8,[np.float64(5.1535417551038725)],4576.592238234841
2_6a,circular,0.9,[np.float64(1.7483208269641242)],4609.0778514962885
2_6a,circular,1.8,[np.float64(2.6726938239474274)],4913.587146791833
2_6a,circular,1.9,[np.float64(2.776464433100335)],4948.832498330601
2_6a,circular,1.2,[np.float64(2.8815272019788067)],4708.1305180730515
2_6a,circular,1.3,[np.float64(2.8727595388363363)],4741.687846601988
2_6a,circular,1.1,[np.float64(1.745410004346611)],4674.845174818674
2_6a,circular,1.0,[np.float64(1.6157279870432806)],4641.82786861782
2_6a,circular,1.4,[np.float64(2.778593933804503)],4775.518513263148
2_6a,circular,1.5,[np.float64(2.4959211438376516)],4809.623935667269
2_6a,circular,1.7,[np.float64(2.494174605260422)],4878.668954842411
2_6a,circular,1.6,[np.float64(2.6571639640639018)],4844.008369106249
2_6a,circular,0.1,[np.float64(3.048607533397714)],4356.321469918969
2_6a,circular,0.0,[np.float64(3.190721606901601)],4325.825417961748
2_6a,circular,0.2,[np.float64(4.634659174683557)],4387.050457662892
2_6a,circular,2.0,[np.float64(5.373566090813115)],4984.346048633936
2_6a,circular,0.3,[np.float64(1.6313703842914469)],4418.019354664454
2_6a,circular,0.7,[np.float64(5.044860442017206)],4544.368463641248
2_6a,circular,0.6,[np.float64(1.7061617282930857)],4512.402401290884
2_6a,circular,0.4,[np.float64(1.6036907543032377)],4449.231795922527
2_6a,circular,0.5,[np.float64(4.834730434944204)],4480.690901234453
2_6a,oval,1.9,[np.float64(2.958315904630212)],3799.15610139204
2_6a,oval,1.8,[np.float64(2.971446654741235)],3776.2027369303764
