Mesh ID,Cross-section type,Pressure (MPa),Aspect Ratio,Pore Area (um^2)
2_6a,oval,0.0,[np.float64(0.9978181988116435)],21.1879
2_6a,oval,0.1,[np.float64(1.1681606065230643)],24.8373
2_6a,oval,0.5,[np.float64(1.364178487218513)],26.338400000000004
2_6a,oval,0.4,[np.float64(1.3283358958060325)],26.1039
2_6a,oval,0.6,[np.float64(1.3795892924900635)],26.5235
2_6a,oval,0.7,[np.float64(1.3919271701419038)],26.6496
2_6a,oval,1.0,[np.float64(1.4608286745037347)],26.889200000000002
2_6a,oval,1.1,[np.float64(1.4694285139914944)],26.928800000000003
2_6a,oval,1.3,[np.float64(1.4862514413667351)],26.9373
2_6a,oval,1.2,[np.float64(1.4783116848811284)],26.9377
2_6a,oval,1.6,[np.float64(3.0002857627470543)],26.905500000000004
2_6a,oval,1.7,[np.float64(2.9691402093720725)],26.8877
2_6a,oval,1.5,[np.float64(0.914644304847218)],26.9338
2_6a,oval,1.4,[np.float64(1.493277313615289)],26.9506
2_7,circular,1.2,[np.float64(3.057630748492507)],46.3304
2_7,circular,1.3,[np.float64(1.6838514640395976)],45.7663
2_7,circular,1.1,[np.float64(1.6459213600741331)],46.899499999999996
2_7,circular,1.0,[np.float64(1.6473963926888708)],47.49900000000001
2_7,circular,1.4,[np.float64(1.6823076505638321)],45.24720000000001
2_7,circular,1.5,[np.float64(1.680861904679702)],44.7433
2_7,circular,1.7,[np.float64(1.6897338018298615)],43.7763
2_7,circular,1.6,[np.float64(1.6793541042341216)],44.24400000000001
2_7,circular,0.1,[np.float64(1.56664824362268)],52.33520000000001
2_7,circular,0.0,[np.float64(1.4940108771812755)],49.6296
2_7,circular,0.2,[np.float64(3.3816448539839805)],52.2549
2_7,circular,2.0,[np.float64(1.7010622786362715)],42.4808
2_7,circular,0.3,[np.float64(1.5756631819693678)],51.8267
2_7,circular,0.7,[np.float64(1.612428973954142)],49.360600000000005
2_7,circular,0.6,[np.float64(3.271488912254166)],50.0278
2_7,circular,0.4,[np.float64(1.5769637510425998)],51.2821
2_7,circular,0.5,[np.float64(3.1797687778889134)],50.6707
2_7,circular,0.8,[np.float64(3.141676338390539)],48.7046
2_7,circular,0.9,[np.float64(3.073900169271555)],48.0797
2_7,circular,1.8,[np.float64(1.5765223362847471)],43.325
2_7,circular,1.9,[np.float64(1.7025204871768314)],42.890299999999996
2_7,oval,1.0,[np.float64(1.5197267294736003)],61.43
2_7,oval,1.1,[np.float64(1.5240497377372313)],61.3222
2_7,oval,1.3,[np.float64(1.5307066798370166)],61.0604
2_7,oval,1.2,[np.float64(1.5276581138669836)],61.1971
2_7,oval,1.6,[np.float64(1.5781926013158554)],60.5962
2_7,oval,1.7,[np.float64(1.5798581786396007)],60.44
2_7,oval,1.5,[np.float64(1.5762729696439473)],60.7471
2_7,oval,1.4,[np.float64(1.5331988306078894)],60.907300000000006
2_7,oval,0.3,[np.float64(1.3808436537134403)],60.42190000000001
2_7,oval,0.2,[np.float64(1.3397216259727216)],59.53900000000001
2_7,oval,2.0,[np.float64(1.6272083919912326)],59.9486
2_7,oval,0.0,[np.float64(1.1295439758433152)],49.6296
2_7,oval,0.1,[np.float64(1.2723689227391857)],57.882200000000005
2_7,oval,0.5,[np.float64(1.441897942030381)],61.278000000000006
2_7,oval,0.4,[np.float64(1.395301066210611)],60.93150000000001
2_7,oval,0.6,[np.float64(1.4538640111767673)],61.473800000000004
2_7,oval,0.7,[np.float64(1.4632043098731304)],61.5492
2_7,oval,0.9,[np.float64(1.4672414398013776)],61.52400000000001
2_7,oval,0.8,[np.float64(1.4707159427596606)],61.5607
2_7,oval,1.9,[np.float64(1.626178495318839)],60.106500000000004
2_7,oval,1.8,[np.float64(1.5813098996872246)],60.257799999999996
3_2,circular,0.9,[np.float64(1.1789837859492969)],19.681
